# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750     0.031415927       82.847243   0.00013013615
2.750     0.047123890       42.095857   0.00022316856
2.750     0.062831853       35.810927   0.00045001338
2.750     0.078539816       26.700245   0.00065532260
2.750     0.094247780       20.019734   0.00084906696
2.750      0.10995574       16.461367    0.0011086384
2.750      0.12566371       14.939847    0.0015019172
2.750      0.14137167       10.630987    0.0015217069
2.750      0.15707963       9.1574818    0.0017980673
2.750      0.17278760       8.0941269    0.0021153292
2.750      0.18849556       7.3927131    0.0025082885
2.750      0.20420352       6.4293284    0.0027734833
2.750      0.21991149       5.7089729    0.0030758983
2.750      0.23561945       5.0192062    0.0033261260
2.750      0.25132741       4.6531594    0.0037422928
2.750      0.26703538       3.9935992    0.0038524865
2.750      0.28274334       3.5994103    0.0041217226
2.750      0.29845130       3.2368334    0.0043592426
2.750      0.31415927       2.9348203    0.0046100049
2.750      0.32986723       2.6861396    0.0048844578
2.750      0.34557519       2.4210066    0.0050616709
2.750      0.36128316       2.3003007    0.0054953834
2.750      0.37699112       2.0851140    0.0056597002
2.750      0.39269908       1.9454624    0.0059686039
2.750      0.40840704       1.8483225    0.0063786339
2.750      0.42411501       1.7112251    0.0066134538
2.750      0.43982297       1.6103382    0.0069409847
2.750      0.45553093       1.5019330    0.0071924101
2.750      0.47123890       1.4190444    0.0075229755
2.750      0.48694686       1.3048802    0.0076328304
2.750      0.50265482       1.2532665    0.0080634940
2.750      0.51836279       1.1782627    0.0083140732
2.750      0.53407075       1.1221441    0.0086599476
2.750      0.54977871       1.0713002    0.0090187268
2.750      0.56548668       1.0274605    0.0094124466
2.750      0.58119464      0.96576309    0.0096051835
2.750      0.59690260      0.91401734    0.0098477070
2.750      0.61261057      0.87345572     0.010173364
2.750      0.62831853      0.83298104     0.010467548
2.750      0.64402649      0.79452916     0.010752051
2.750      0.65973446      0.75020637     0.010913361
2.750      0.67544242      0.73478182     0.011470799
2.750      0.69115038      0.70385158     0.011772508
2.750      0.70685835      0.68551754     0.012265521
2.750      0.72256631      0.64017786     0.012235002
2.750      0.73827427      0.62882523     0.012818979
2.750      0.75398224      0.60281548     0.013089950
2.750      0.76969020      0.58767897     0.013575576
2.750      0.78539816      0.56153982     0.013782261
2.750      0.80110613      0.54111634     0.014093896
2.750      0.81681409      0.52344404     0.014451409
2.750      0.83252205      0.50384418     0.014728338
2.750      0.84823002      0.48770246     0.015078777
2.750      0.86393798      0.47273386     0.015443106
2.750      0.87964594      0.45619141     0.015730447
2.750      0.89535391      0.44197373     0.016071297
2.750      0.91106187      0.43307712     0.016591250
2.750      0.92676983      0.41514212     0.016741051
2.750      0.94247780      0.40082602     0.016999633
2.750      0.95818576      0.38905247     0.017339141
2.750      0.97389372      0.38353902     0.017947936
2.750      0.98960169      0.37113467     0.018221456
2.750       1.0053096      0.36034485     0.018547617
2.750       1.0367256      0.34772545     0.019629000
2.750       1.0681415      0.31897804     0.019693251
2.750       1.0995574      0.30863265     0.020785758
2.750       1.1309734      0.28639547     0.020989086
