# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       402.12386    0.0030233782       9959.6083
3.000       410.16634    0.0028484945       9957.8525
3.000       418.20881    0.0031092184       11521.288
3.000       426.25129    0.0029675784       11643.126
3.000       434.29377    0.0029149663       12096.357
3.000       442.33625    0.0028256188       12389.147
3.000       450.37872    0.0027447921       12703.205
3.000       458.42120    0.0028606280       13961.296
3.000       466.46368    0.0027209040       13990.620
3.000       474.50615    0.0027542781       14907.458
3.000       482.54863    0.0029222976       16634.814
3.000       490.59111    0.0020280100       12131.077
3.000       498.63359    0.0029534344       18549.926
3.000       506.67606    0.0022699020       14957.828
3.000       514.71854    0.0029243613       20202.761
2.750     0.015707963       1073.1756   0.00021071754
2.750     0.031415927       2652.0075    0.0041657637
2.750     0.047123890       1357.0673    0.0071944078
2.750     0.062831853       1153.4363     0.014494508
2.750     0.078539816       888.37239     0.021803939
2.750     0.094247780       674.66485     0.028613549
2.750      0.10995574       544.57401     0.036675912
2.750      0.12566371       495.79208     0.049842456
2.750      0.14137167       362.75999     0.051925036
2.750      0.15707963       312.78743     0.061415668
2.750      0.17278760       270.47080     0.070685173
2.750      0.18849556       248.79016     0.084412514
2.750      0.20420352       221.76495     0.095664953
2.750      0.21991149       196.14276      0.10567841
2.750      0.23561945       170.00129      0.11265640
2.750      0.25132741       158.06758      0.12712549
2.750      0.26703538       137.65581      0.13279179
2.750      0.28274334       123.75215      0.14170989
2.750      0.29845130       110.55229      0.14888756
2.750      0.31415927       100.38547      0.15768512
2.750      0.32986723       92.606387      0.16839481
2.750      0.34557519       83.567043      0.17471612
2.750      0.36128316       79.013243      0.18876144
2.750      0.37699112       71.715644      0.19466036
2.750      0.39269908       67.199559      0.20616566
2.750      0.40840704       63.876589      0.22044063
2.750      0.42411501       59.102245      0.22841528
2.750      0.43982297       55.749557      0.24029537
2.750      0.45553093       51.880295      0.24844275
2.750      0.47123890       49.141070      0.26051832
2.750      0.48694686       45.222811      0.26452854
2.750      0.50265482       43.458728      0.27961266
2.750      0.51836279       40.870331      0.28838978
2.750      0.53407075       38.967309      0.30072329
2.750      0.54977871       37.185237      0.31304341
2.750      0.56548668       35.731169      0.32732910
2.750      0.58119464       33.537721      0.33355589
2.750      0.59690260       31.828750      0.34292589
2.750      0.61261057       30.432642      0.35445685
2.750      0.62831853       29.006983      0.36451250
2.750      0.64402649       27.689317      0.37470864
2.750      0.65973446       26.179619      0.38083870
2.750      0.67544242       25.656561      0.40052876
2.750      0.69115038       24.594892      0.41137021
2.750      0.70685835       23.986227      0.42917001
2.750      0.72256631       22.392398      0.42796081
2.750      0.73827427       22.015597      0.44880112
2.750      0.75398224       21.128264      0.45879367
2.750      0.76969020       20.609733      0.47609159
2.750      0.78539816       19.712335      0.48381350
2.750      0.80110613       19.037159      0.49584113
2.750      0.81681409       18.428347      0.50877565
2.750      0.83252205       17.748456      0.51882163
2.750      0.84823002       17.217093      0.53231781
2.750      0.86393798       16.671208      0.54460927
2.750      0.87964594       16.089070      0.55478527
2.750      0.89535391       15.638928      0.56867148
2.750      0.91106187       15.330684      0.58732083
2.750      0.92676983       14.699405      0.59276928
2.750      0.94247780       14.217049      0.60296637
2.750      0.95818576       13.838199      0.61673554
2.750      0.97389372       13.632990      0.63796386
2.750      0.98960169       13.225689      0.64933657
2.750       1.0053096       12.830422      0.66040561
2.750       1.0367256       12.423063      0.70127827
2.750       1.0681415       11.432232      0.70580977
2.750       1.0995574       11.102016      0.74769737
2.750       1.1309734       10.322660      0.75651755
2.750       1.1623893       9.9241190      0.78961795
2.750       1.1938052       9.6460203      0.83141688
2.750       1.2252211       9.2699798      0.86375880
2.750       1.2566371       8.8969053      0.89441448
2.750       1.2880530       8.4658193      0.91651683
2.750       1.3194689       8.1032242      0.94303021
2.750       1.3508848       7.9493332      0.99278669
2.750       1.3823008       7.6061503       1.0177540
2.750       1.4137167       7.4507877       1.0664969
2.750       1.4451326       7.0179001       1.0730020
2.750       1.4765485       6.7680486       1.1037658
2.750       1.5079645       6.6831365       1.1609778
2.750       1.5393804       6.4018715       1.1830826
2.750       1.5707963       6.2544208       1.2280526
2.750       1.6022123       5.9747674       1.2449486
2.750       1.6336282       5.7658422       1.2734816
2.750       1.6650441       5.6124010       1.3124905
2.750       1.6964600       5.5268345       1.3670287
2.750       1.7278760       5.4145376       1.4150420
2.750       1.7592919       5.1635642       1.4244052
2.750       1.7907078       5.1269270       1.4914256
2.750       1.8221237       4.9495589       1.5169468
2.750       1.8535397       4.8354379       1.5599538
2.750       1.8849556       4.6952346       1.5930556
2.750       1.9163715       4.5764321       1.6316853
2.750       1.9477874       4.4823214       1.6780231
2.750       1.9792034       4.3404308       1.7048036
2.750       2.0106193       4.2599159       1.7541261
2.750       2.0734512       4.0018314       1.8072177
2.750       2.1362830       3.9393853       1.9456964
2.750       2.1991149       3.7364794       2.0131521
2.750       2.2619467       3.5636736       2.0893697
2.750       2.3247786       3.4985447       2.2269089
2.750       2.3876104       3.2738983       2.2574900
2.750       2.4504423       3.1521906       2.3497202
2.750       2.5132741       3.0776875       2.4752232
2.750       2.5761060       2.9694462       2.5717982
2.750       2.6389378       2.8424049       2.6463281
2.750       2.7017697       2.7529284       2.7504905
2.750       2.7646015       2.7141451       2.9053667
2.750       2.8274334       2.6001611       2.9774718
2.750       2.8902652       2.5423574       3.1097105
