# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       213.12565    0.0077094321       3780.9400
3.000       217.14688    0.0073550875       3815.2141
3.000       221.16812    0.0072949072       3998.1366
3.000       225.18936    0.0068918855       3987.0522
3.000       229.21060    0.0071578863       4366.7583
3.000       233.23184    0.0069307027       4454.6238
3.000       237.25308    0.0071361876       4828.0535
3.000       241.27432    0.0064031450       4556.1380
3.000       245.29555    0.0063402118       4740.7064
3.000       249.31679    0.0060706416       4766.0593
3.000       253.33803    0.0051476351       4240.1301
3.000       257.35927    0.0058873324       5084.0319
3.000       265.40175    0.0055509914       5257.1715
3.000       273.44422    0.0054646975       5660.3417
3.000       281.48670    0.0049286686       5568.9527
3.000       289.52918    0.0052802615       6492.3617
3.000       297.57166    0.0044711391       5968.4715
3.000       305.61413    0.0045762373       6617.5785
3.000       313.65661    0.0046946245       7338.9589
3.000       321.69909    0.0044008574       7422.6168
3.000       329.74156    0.0036205252       6576.0168
3.000       337.78404    0.0038303522       7478.7042
3.000       345.82652    0.0038406221       8047.2355
3.000       353.86900    0.0039547388       8878.0094
3.000       361.91147    0.0037348033       8969.0213
3.000       369.95395    0.0033468520       8585.1874
3.000       377.99643    0.0032524163       8898.9646
3.000       386.03891    0.0033539145       9774.9708
3.000       394.08138    0.0036223342       11230.951
3.000       402.12386    0.0031966900       10530.532
3.000       410.16634    0.0025235901       8822.0419
3.000       418.20881    0.0029684464       10999.654
3.000       426.25129    0.0032679827       12821.745
3.000       434.29377    0.0026887480       11157.609
3.000       442.33625    0.0021694130       9511.9615
3.000       450.37872    0.0030137095       13947.785
3.000       458.42120    0.0029625798       14458.871
3.000       466.46368    0.0032795757       16863.255
3.000       474.50615    0.0033542169       18154.611
3.000       482.54863    0.0027103508       15428.334
3.000       490.59111    0.0027347059       16358.365
3.000       498.63359    0.0025156071       15800.021
3.000       506.67606    0.0026229409       17284.226
3.000       514.71854    0.0027524643       19015.221
2.750     0.015707963       1238.7585   0.00024322966
2.750     0.031415927       2926.9658    0.0045976671
2.750     0.047123890       1483.5002    0.0078646835
2.750     0.062831853       1261.4472     0.015851814
2.750     0.078539816       939.40487     0.023056464
2.750     0.094247780       703.13449     0.029820989
2.750      0.10995574       578.36285     0.038951519
2.750      0.12566371       524.98305     0.052777053
2.750      0.14137167       373.08094     0.053402364
2.750      0.15707963       321.02437     0.063032987
2.750      0.17278760       284.02116     0.074226442
2.750      0.18849556       259.33670     0.087990869
2.750      0.20420352       225.41174     0.097238105
2.750      0.21991149       200.06931      0.10779397
2.750      0.23561945       175.96664      0.11660952
2.750      0.25132741       163.13870      0.13120393
2.750      0.26703538       139.92065      0.13497659
2.750      0.28274334       126.12776      0.14443023
2.750      0.29845130       113.50785      0.15286800
2.750      0.31415927       102.85410      0.16156285
2.750      0.32986723       94.141154      0.17118563
2.750      0.34557519       84.889608      0.17748124
2.750      0.36128316       80.630485      0.19262501
2.750      0.37699112       73.098485      0.19841385
2.750      0.39269908       68.228411      0.20932214
2.750      0.40840704       64.824122      0.22371061
2.750      0.42411501       60.032373      0.23201000
2.750      0.43982297       56.544659      0.24372247
2.750      0.45553093       52.710927      0.25242045
2.750      0.47123890       49.852188      0.26428826
2.750      0.48694686       45.857366      0.26824033
2.750      0.50265482       44.054831      0.28344798
2.750      0.51836279       41.424316      0.29229881
2.750      0.53407075       39.465106      0.30456495
2.750      0.54977871       37.687528      0.31727195
2.750      0.56548668       36.162543      0.33128087
2.750      0.58119464       33.994133      0.33809522
2.750      0.59690260       32.209932      0.34703278
2.750      0.61261057       30.792965      0.35865363
2.750      0.62831853       29.377948      0.36917419
2.750      0.64402649       28.035144      0.37938858
2.750      0.65973446       26.493184      0.38540018
2.750      0.67544242       25.970293      0.40542648
2.750      0.69115038       24.876169      0.41607481
2.750      0.70685835       24.256986      0.43401452
2.750      0.72256631       22.669278      0.43325250
2.750      0.73827427       22.273879      0.45406636
2.750      0.75398224       21.378977      0.46423782
2.750      0.76969020       20.842781      0.48147505
2.750      0.78539816       19.941973      0.48944964
2.750      0.80110613       19.233549      0.50095631
2.750      0.81681409       18.636011      0.51450889
2.750      0.83252205       17.936680      0.52432377
2.750      0.84823002       17.377312      0.53727146
2.750      0.86393798       16.856782      0.55067154
2.750      0.87964594       16.272887      0.56112367
2.750      0.89535391       15.791305      0.57421229
2.750      0.91106187       15.490202      0.59343197
2.750      0.92676983       14.863213      0.59937500
2.750      0.94247780       14.371524      0.60951792
2.750      0.95818576       13.962286      0.62226580
2.750      0.97389372       13.772258      0.64448096
2.750      0.98960169       13.348406      0.65536154
2.750       1.0053096       12.969019      0.66753947
2.750       1.0367256       12.549206      0.70839900
2.750       1.0681415       11.534485      0.71212271
2.750       1.0995574       11.200417      0.75432451
2.750       1.1309734       10.408214      0.76278756
2.750       1.1623893       10.015531      0.79689122
2.750       1.1938052       9.7183582      0.83765188
2.750       1.2252211       9.3356267      0.86987565
2.750       1.2566371       8.9802188      0.90279006
2.750       1.2880530       8.5231343      0.92272179
2.750       1.3194689       8.1791289      0.95186378
2.750       1.3508848       7.9990752      0.99899893
2.750       1.3823008       7.6727009       1.0266589
2.750       1.4137167       7.5168971       1.0759597
2.750       1.4451326       7.0773320       1.0820889
2.750       1.4765485       6.8337843       1.1144863
2.750       1.5079645       6.7149025       1.1664961
2.750       1.5393804       6.4449585       1.1910452
2.750       1.5707963       6.2896964       1.2349790
2.750       1.6022123       6.0379107       1.2581056
2.750       1.6336282       5.8103706       1.2833164
2.750       1.6650441       5.6550481       1.3224638
2.750       1.6964600       5.5596388       1.3751426
2.750       1.7278760       5.4491709       1.4240931
2.750       1.7592919       5.1900244       1.4317044
2.750       1.7907078       5.1607539       1.5012658
2.750       1.8221237       4.9887574       1.5289604
2.750       1.8535397       4.8681788       1.5705162
2.750       1.8849556       4.7335660       1.6060611
2.750       1.9163715       4.6151058       1.6454741
2.750       1.9477874       4.4987997       1.6841920
2.750       1.9792034       4.3676859       1.7155087
2.750       2.0106193       4.2967489       1.7692931
2.750       2.0734512       4.0414369       1.8251034
2.750       2.1362830       3.9498454       1.9508627
2.750       2.1991149       3.7692543       2.0308107
2.750       2.2619467       3.5859053       2.1024040
2.750       2.3247786       3.5082969       2.2331165
2.750       2.3876104       3.2835491       2.2641446
2.750       2.4504423       3.1538217       2.3509361
2.750       2.5132741       3.0853059       2.4813502
2.750       2.5761060       2.9841314       2.5845169
2.750       2.6389378       2.8526987       2.6559117
2.750       2.7017697       2.7657125       2.7632633
2.750       2.7646015       2.7121144       2.9031929
2.750       2.8274334       2.6117204       2.9907086
2.750       2.8902652       2.5474206       3.1159036
2.750       2.9530971       2.4340353       3.1756331
2.750       3.0159289       2.4137915       3.3545428
2.750       3.0787608       2.2994291       3.3995241
